start_ip,end_ip,join_key,asn,domain,name,type,country
194.39.84.0,194.39.84.255,194.39.0.0,AS15525,meo.pt,MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,isp,PT
2a0c:e047:8000::,2a0c:e047:bfff:ffff:ffff:ffff:ffff:ffff,2a0c:e047:8000::,AS200629,cloudio.dk,CLOUDIO A/S,business,DK
194.0.40.0,194.0.41.255,194.0.0.0,AS198147,teletok.tk,Telecommunication Tokelau Corporation Teletok,isp,TK
154.92.104.0,154.92.107.255,154.92.0.0,AS140595,gdyunjie.com,YunJie Communication HK Company Limited,business,HK
2804:58c0:c000::,2804:58c0:ffff:ffff:ffff:ffff:ffff:ffff,2804:58c0:c000::,AS268147,safra.com.br,J. Safra Telecomunicações Ltda,isp,BR
104.167.224.0,104.167.224.255,104.167.0.0,AS30034,vermontcountrystore.com,"The Vermont Country Store, Inc.",business,US
103.103.238.0,103.103.238.255,103.103.0.0,AS137073,sydgram.nsw.edu.au,THE TRUSTEES OF THE SYDNEY GRAMMAR SCHOOL,education,AU
103.152.252.0,103.152.253.255,103.152.0.0,AS131677,openfor.com.tw,"OpenFor Telecommunications Co., Ltd.",isp,TW
2a11:6f44:8000::,2a11:6f44:bfff:ffff:ffff:ffff:ffff:ffff,2a11:6f44:8000::,AS1239,sprint.net,Sprint,isp,US
23.252.103.0,23.252.111.255,23.252.0.0,AS25820,it7.net,IT7 Networks Inc,hosting,CA
240e:c9a:c000::,240e:c9a:ffff:ffff:ffff:ffff:ffff:ffff,240e:c9a:c000::,AS4134,chinatelecom.com.cn,CHINANET-BACKBONE,isp,CN
195.234.20.0,195.234.21.255,195.234.0.0,AS30782,toya.net.pl,Toya sp.z.o.o,isp,PL
2a0f:8880:c000::,2a0f:8880:ffff:ffff:ffff:ffff:ffff:ffff,2a0f:8880:c000::,AS42184,tkrz.de,tkrz Stadtwerke GmbH,isp,DE
194.116.164.0,194.116.165.255,194.116.0.0,AS31121,wpweb.com,WpWeb S.r.l.,business,IT
150.129.208.0,150.129.208.255,150.129.0.0,AS133955,w-l.com.hk,World-Link International,business,HK
201.234.235.0,201.234.235.255,201.234.0.0,AS263771,ip-network.net,"IP NET, C.A.",isp,VE
2603:f64d:c000::,2603:f64d:ffff:ffff:ffff:ffff:ffff:ffff,2603:f64d:c000::,AS397165,digitalworkspaces.com,EpicUp Holdings Inc,business,US
2403:99b7:4000::,2403:99b7:7fff:ffff:ffff:ffff:ffff:ffff,2403:99b7:4000::,AS17676,softbank.jp,Softbank BB Corp.,isp,JP
162.253.152.0,162.253.155.255,162.253.0.0,AS62838,reprisehosting.com,Reprise Hosting,hosting,US
2a12:1d47:c000::,2a12:1d47:ffff:ffff:ffff:ffff:ffff:ffff,2a12:1d47:c000::,AS39719,liguriadigitale.it,Liguria Digitale S.p.A.,isp,IT
2404:f340:4010::,2404:f340:7fff:ffff:ffff:ffff:ffff:ffff,2404:f340:4000::,AS139190,google.com,Google Asia Pacific Pte. Ltd.,business,SG
2001:2a9d:4000::,2001:2a9d:7fff:ffff:ffff:ffff:ffff:ffff,2001:2a9d:4000::,AS1299,teliacompany.com,Telia Company AB,isp,SE
2001:26a3:8000::,2001:26a3:bfff:ffff:ffff:ffff:ffff:ffff,2001:26a3:8000::,AS1299,teliacompany.com,Telia Company AB,isp,SE
2400:4037::,2400:4037:3fff:ffff:ffff:ffff:ffff:ffff,2400:4037::,AS4713,ntt.com,NTT Communications Corporation,isp,JP
221.224.191.0,221.224.219.255,221.224.0.0,AS4134,chinatelecom.com.cn,CHINANET-BACKBONE,isp,CN
2a01:4f86::,2a01:4f86:3fff:ffff:ffff:ffff:ffff:ffff,2a01:4f86::,AS51053,bg-verkehr.de,Berufsgenossenschaft fuer Transport und Verkehrswirtschaft,business,DE
2400:2725:8000::,2400:2725:bfff:ffff:ffff:ffff:ffff:ffff,2400:2725:8000::,AS17676,softbank.jp,Softbank BB Corp.,isp,JP
2001:53b3::,2001:53b3:3fff:ffff:ffff:ffff:ffff:ffff,2001:53b3::,AS1273,vodafone.com,Vodafone Group PLC,isp,EU
37.140.254.0,37.140.254.255,37.140.0.0,AS206092,ipxo.com,IPXO LIMITED,isp,GB
2c0e:ecc:8000::,2c0e:ecc:bfff:ffff:ffff:ffff:ffff:ffff,2c0e:ecc:8000::,AS24863,link.net,Link Egypt (Link.NET),isp,EG
2601:d3f:4000::,2601:d3f:7fff:ffff:ffff:ffff:ffff:ffff,2601:d3f:4000::,AS7922,comcast.com,"Comcast Cable Communications, LLC",isp,US
2a01:166b:c000::,2a01:166b:ffff:ffff:ffff:ffff:ffff:ffff,2a01:166b:c000::,AS5617,orange.pl,Orange Polska Spolka Akcyjna,isp,PL
2001:8fc5::,2001:8fc5:3fff:ffff:ffff:ffff:ffff:ffff,2001:8fc5::,AS1221,telstra.com.au,Telstra Corporation Ltd,isp,AU
2a0a:4d87:c000::,2a0a:4d87:ffff:ffff:ffff:ffff:ffff:ffff,2a0a:4d87:c000::,AS44462,stwmz.at,Stadtwerke Muerzzuschlag GmbH,isp,AT
185.221.12.0,185.221.15.255,185.221.0.0,AS205274,teckman.eu,Ivan Milivinti trading as Teckman,business,IT
38.129.58.0,38.129.58.255,38.129.0.0,AS397468,thinkon.com,"Think On, Inc.",business,CA
2a0b:2c42:8000::,2a0b:2c42:bfff:ffff:ffff:ffff:ffff:ffff,2a0b:2c42:8000::,AS205741,misaxnet.de,Web + Phone GmbH,isp,DE
2408:145:8000::,2408:145:bfff:ffff:ffff:ffff:ffff:ffff,2408:145:8000::,AS9595,ntt-me.co.jp,NTT-ME Corporation,isp,JP
2c0e:2ed7::,2c0e:2ed7:3fff:ffff:ffff:ffff:ffff:ffff,2c0e:2ed7::,AS5713,telkom.co.za,Telkom SA Ltd.,isp,ZA
67.210.176.0,67.210.179.255,67.210.0.0,AS11976,fidelitycommunications.com,Fidelity Communication International Inc.,isp,US
2a0e:3f01::,2a0e:3f01:3fff:ffff:ffff:ffff:ffff:ffff,2a0e:3f01::,AS197706,keminet.net,Keminet SHPK,hosting,AL
202.206.0.0,202.206.255.255,202.206.0.0,AS4538,cernet.edu.cn,China Education and Research Network Center,education,CN
2a01:2e79:4000::,2a01:2e79:7fff:ffff:ffff:ffff:ffff:ffff,2a01:2e79:4000::,AS3269,telecomitalia.com,Telecom Italia S.p.A.,isp,IT
240a:c591:c000::,240a:c591:ffff:ffff:ffff:ffff:ffff:ffff,240a:c591:c000::,AS137726,pcitc.com,China Petroleum & Chemical Corporation,business,CN
88.243.188.0,88.243.191.255,88.243.0.0,AS47331,ttnet.com.tr,TTNet A.S.,isp,TR
2408:43a7:4000::,2408:43a7:7fff:ffff:ffff:ffff:ffff:ffff,2408:43a7:4000::,AS37963,alibabagroup.com,"Hangzhou Alibaba Advertising Co.,Ltd.",hosting,CN
2001:87b:4000::,2001:87b:7fff:ffff:ffff:ffff:ffff:ffff,2001:87b:4000::,AS1835,deic.dk,Forskningsnettet - Danish network for Research and Education,education,DK
185.152.34.0,185.152.34.255,185.152.0.0,AS61292,blix.com,BLIX GROUP AS,business,NO
2a0c:9644::,2a0c:9644:3fff:ffff:ffff:ffff:ffff:ffff,2a0c:9644::,AS197248,dravanet.hu,Dravanet Co Ltd.,isp,HU
2001:1a68:2::,2001:1a68:2:ffff:ffff:ffff:ffff:ffff,2001:1a68::,AS198430,vbiz.pl,vSolutions z o.o.,business,PL
2603:f914::,2603:f914:3fff:ffff:ffff:ffff:ffff:ffff,2603:f914::,AS397165,digitalworkspaces.com,EpicUp Holdings Inc,business,US
2a01:a883::,2a01:a883:3fff:ffff:ffff:ffff:ffff:ffff,2a01:a883::,AS29600,latvenergo.lv,AS Latvenergo,isp,LV
2001:81c2:4000::,2001:81c2:7fff:ffff:ffff:ffff:ffff:ffff,2001:81c2:4000::,AS1221,telstra.com.au,Telstra Corporation Ltd,isp,AU
2400:2608::,2400:2608:3fff:ffff:ffff:ffff:ffff:ffff,2400:2608::,AS17676,softbank.jp,Softbank BB Corp.,isp,JP
185.242.104.0,185.242.105.255,185.242.0.0,AS43317,veesp.com,FNK LLC,hosting,RU
2400:a980:ee::,2400:a980:ee:ffff:ffff:ffff:ffff:ffff,2400:a980::,AS4538,cernet.edu.cn,China Education and Research Network Center,education,CN
2806:230:101f::,2806:230:101f:ffff:ffff:ffff:ffff:ffff,2806:230::,AS11888,izzi.mx,"Television Internacional, S.A. de C.V.",isp,MX
186.250.240.0,186.250.247.255,186.250.0.0,AS53221,engetronics.com.br,ENGETRONICS INTERNET DATACENTER,business,BR
209.12.9.0,209.12.22.255,209.12.0.0,AS3549,lumen.com,"Level 3 Parent, LLC",isp,US
193.0.164.0,193.0.165.255,193.0.0.0,AS3348,avatel.es,"AVATEL TELECOM, SA",isp,ES
2a0e:b687:4000::,2a0e:b687:7fff:ffff:ffff:ffff:ffff:ffff,2a0e:b687:4000::,AS208016,as208016.net,The Infrastructure Company GmbH,business,DE
81.23.157.0,81.23.157.255,81.23.0.0,AS12389,rt.ru,PJSC Rostelecom,isp,RU
171.162.186.0,171.162.187.255,171.162.0.0,AS19886,bankofamerica.com,"Bank of America, National Association",business,US
68.222.192.0,68.222.207.255,68.222.0.0,AS6389,att.com,AT&T Corp.,isp,US
66.157.0.0,66.157.191.255,66.157.0.0,AS6389,att.com,AT&T Corp.,isp,US
2003:1ba2:4000::,2003:1ba2:7fff:ffff:ffff:ffff:ffff:ffff,2003:1ba2:4000::,AS3320,telekom.com,Deutsche Telekom AG,isp,DE
2001:84cf:c000::,2001:84cf:ffff:ffff:ffff:ffff:ffff:ffff,2001:84cf:c000::,AS1221,telstra.com.au,Telstra Corporation Ltd,isp,AU
2001:2400:4000::,2001:2400:7fff:ffff:ffff:ffff:ffff:ffff,2001:2400:4000::,AS1299,teliacompany.com,Telia Company AB,isp,SE
240e:c08::,240e:c08:3fff:ffff:ffff:ffff:ffff:ffff,240e:c08::,AS4134,chinatelecom.com.cn,CHINANET-BACKBONE,isp,CN
2409:8fc2:8000::,2409:8fc2:bfff:ffff:ffff:ffff:ffff:ffff,2409:8fc2:8000::,AS9808,10086.cn,"China Mobile Communications Group Co., Ltd.",isp,CN
2001:5394:8000::,2001:5394:bfff:ffff:ffff:ffff:ffff:ffff,2001:5394:8000::,AS1273,vodafone.com,Vodafone Group PLC,isp,EU
2a05:6902:8000::,2a05:6902:bfff:ffff:ffff:ffff:ffff:ffff,2a05:6902:8000::,AS47551,mayaknet.ru,MAYAK NETWORK LLC,business,RU
217.13.105.0,217.13.105.255,217.13.0.0,AS208126,vinet.hu,ViNetwork Kft.,isp,HU
188.194.177.0,188.194.177.255,188.194.0.0,AS31334,vodafone.com,Vodafone Deutschland GmbH,isp,DE
135.116.0.0,135.116.255.255,135.116.0.0,AS10455,nokia.com,Nokia of America Corporation,isp,US
240a:a2c5:c000::,240a:a2c5:ffff:ffff:ffff:ffff:ffff:ffff,240a:a2c5:c000::,AS143359,,,inactive,
2a11:bc42::,2a11:bc42:3fff:ffff:ffff:ffff:ffff:ffff,2a11:bc42::,AS211823,abuntis.com,Abuntis Verwaltungs GmbH,business,DE
240e:4ca:4000::,240e:4ca:7fff:ffff:ffff:ffff:ffff:ffff,240e:4ca:4000::,AS4134,chinatelecom.com.cn,CHINANET-BACKBONE,isp,CN
195.244.96.0,195.244.127.255,195.244.0.0,AS61157,plusserver.com,PlusServer GmbH,hosting,DE
2804:6cc:4000::,2804:6cc:7fff:ffff:ffff:ffff:ffff:ffff,2804:6cc:4000::,AS262607,vexpert.com.br,SMLB TELECOM,isp,BR
130.117.169.0,130.117.169.255,130.117.0.0,AS328236,iptel.sl,PCS Holdings Limited,isp,SL
203.23.236.0,203.23.239.255,203.23.0.0,AS18390,spintel.net.au,Spintel Pty Ltd,isp,AU
2c0e:e45:c000::,2c0e:e45:ffff:ffff:ffff:ffff:ffff:ffff,2c0e:e45:c000::,AS24863,link.net,Link Egypt (Link.NET),isp,EG
2406:30c0::,2406:30c0:0:ffff:ffff:ffff:ffff:ffff,2406:30c0::,AS38732,cmctelecom.vn,CMC Telecom Infrastructure Company,isp,VN
200.206.128.0,200.206.255.255,200.206.0.0,AS27699,telefonica.com.br,TELEFÔNICA BRASIL S.A,isp,BR
2409:8ce8::,2409:8ce8:3fff:ffff:ffff:ffff:ffff:ffff,2409:8ce8::,AS9808,10086.cn,"China Mobile Communications Group Co., Ltd.",isp,CN
113.142.128.0,113.142.255.255,113.142.0.0,AS134768,chinatelecom.cn,CHINANET SHAANXI province Cloud Base network,isp,CN
2400:41d2:4000::,2400:41d2:7fff:ffff:ffff:ffff:ffff:ffff,2400:41d2:4000::,AS4713,ntt.com,NTT Communications Corporation,isp,JP
154.12.52.0,154.12.59.255,154.12.0.0,AS35251,as35251.net,Zhihua Lu trading as HostHub,hosting,CA
2404:a802:c000::,2404:a802:ffff:ffff:ffff:ffff:ffff:ffff,2404:a802:c000::,AS9498,airtel.in,BHARTI Airtel Ltd.,isp,IN
2001:8088:4000::,2001:8088:7fff:ffff:ffff:ffff:ffff:ffff,2001:8088:4000::,AS1221,telstra.com.au,Telstra Corporation Ltd,isp,AU
2a10:d007:4000::,2a10:d007:7fff:ffff:ffff:ffff:ffff:ffff,2a10:d007:4000::,AS35506,ktpae.gr,INFORMATION SOCIETY S.A.,isp,GR
2001:2118:4000::,2001:2118:7fff:ffff:ffff:ffff:ffff:ffff,2001:2118:4000::,AS1299,teliacompany.com,Telia Company AB,isp,SE
193.235.72.0,193.235.72.255,193.235.0.0,AS1257,tele2.se,Tele2 Sverige AB,isp,SE
2408:22f:8000::,2408:22f:bfff:ffff:ffff:ffff:ffff:ffff,2408:22f:8000::,AS9595,ntt-me.co.jp,NTT-ME Corporation,isp,JP
2803:6660:c000::,2803:6660:ffff:ffff:ffff:ffff:ffff:ffff,2803:6660:c000::,AS267895,griip.com.ar,SICSATEL S.R.L.,business,AR
2603:f2ac:8000::,2603:f2ac:bfff:ffff:ffff:ffff:ffff:ffff,2603:f2ac:8000::,AS397165,digitalworkspaces.com,EpicUp Holdings Inc,business,US
240a:c8c3::,240a:c8c3:3fff:ffff:ffff:ffff:ffff:ffff,240a:c8c3::,AS137726,pcitc.com,China Petroleum & Chemical Corporation,business,CN
2409:8ac4:c000::,2409:8ac4:ffff:ffff:ffff:ffff:ffff:ffff,2409:8ac4:c000::,AS9808,10086.cn,"China Mobile Communications Group Co., Ltd.",isp,CN
2003:122d::,2003:122d:3fff:ffff:ffff:ffff:ffff:ffff,2003:122d::,AS3320,telekom.com,Deutsche Telekom AG,isp,DE
2a0d:c583::,2a0d:c583:3fff:ffff:ffff:ffff:ffff:ffff,2a0d:c583::,AS204490,contell.ru,Kontel LLC,hosting,RU
2c0f:880:4000::,2c0f:880:7fff:ffff:ffff:ffff:ffff:ffff,2c0f:880:4000::,AS329033,systel.ke,Systel Limited,business,KE
208.126.74.0,208.126.74.255,208.126.0.0,AS19628,mahaska.org,"Mahaska Communication Group, LLC",isp,US
2800:970:4000::,2800:970:7fff:ffff:ffff:ffff:ffff:ffff,2800:970:4000::,AS27787,playcomla.com.ar,LOS AMORES S.A.,isp,AR
87.239.121.0,87.239.127.255,87.239.0.0,AS39662,ficora.fi,Finnish Transport and Communications Agency,business,FI
2c0e:ad5::,2c0e:ad5:3fff:ffff:ffff:ffff:ffff:ffff,2c0e:ad5::,AS24863,link.net,Link Egypt (Link.NET),isp,EG
240a:aeda:c000::,240a:aeda:ffff:ffff:ffff:ffff:ffff:ffff,240a:aeda:c000::,AS146452,,,inactive,
2400:2af1::,2400:2af1:3fff:ffff:ffff:ffff:ffff:ffff,2400:2af1::,AS17676,softbank.jp,Softbank BB Corp.,isp,JP
2804:836c:c000::,2804:836c:ffff:ffff:ffff:ffff:ffff:ffff,2804:836c:c000::,AS272197,,MOVEFI NET,hosting,BR
2a00:28::,2a00:28:3fff:ffff:ffff:ffff:ffff:ffff,2a00:28::,AS3209,vodafone.de,Vodafone GmbH,isp,DE
2a01:488:bb06::,2a01:488:bb06:ffff:ffff:ffff:ffff:ffff,2a01:488:8000::,AS39779,hosteurope.de,Host Europe GmbH,hosting,DE
2620:11c:f00d::,2620:11c:f00d:ffff:ffff:ffff:ffff:ffff,2620:11c:c000::,AS393667,farsightsecurity.com,"Farsight Security, Inc",business,US
69.4.64.0,69.4.79.255,69.4.0.0,AS26241,3z.net,3z.net,business,US
240d:4193:8000::,240d:4193:bfff:ffff:ffff:ffff:ffff:ffff,240d:4193:8000::,AS133111,cernet.com,"CERNET New Technology Co., Ltd",isp,CN
240c:408d:c000::,240c:408d:ffff:ffff:ffff:ffff:ffff:ffff,240c:408d:c000::,AS38365,baidu.com,"Beijing Baidu Netcom Science and Technology Co., Ltd.",hosting,CN
2003:10e4:4000::,2003:10e4:7fff:ffff:ffff:ffff:ffff:ffff,2003:10e4:4000::,AS3320,telekom.com,Deutsche Telekom AG,isp,DE
121.53.208.0,121.53.209.255,121.53.0.0,AS38678,kakao.com,Kakao Corp,business,KR
2601:2d3:c000::,2601:2d3:ffff:ffff:ffff:ffff:ffff:ffff,2601:2d3:c000::,AS7922,comcast.com,"Comcast Cable Communications, LLC",isp,US
207.180.15.0,207.180.17.255,207.180.0.0,AS46887,crowncastle.com,"Lightower Fiber Networks I, LLC",isp,US
2400:ea00:c010::,2400:ea00:c010:ffff:ffff:ffff:ffff:ffff,2400:ea00:c000::,AS23884,proen.co.th,Proen Corp Public Company Limited.,isp,TH
103.101.76.0,103.101.79.255,103.101.0.0,AS56141,danang.gov.vn,Danang ICT Infrastructure Development Center,business,VN
199.168.134.0,199.168.135.255,199.168.0.0,AS14742,inap.com,Internap Holding LLC,isp,US
116.107.136.0,116.107.143.255,116.107.0.0,AS24086,viettel.com.vn,Viettel Corporation,isp,VN
2a02:b2f::,2a02:b2f:3fff:ffff:ffff:ffff:ffff:ffff,2a02:b2f::,AS42605,ratiodata.de,Ratiodata SE,business,DE
2800:2f2c:c000::,2800:2f2c:ffff:ffff:ffff:ffff:ffff:ffff,2800:2f2c:c000::,AS7303,telecom.com.ar,Telecom Argentina S.A.,isp,AR
2a07:c483:4000::,2a07:c483:7fff:ffff:ffff:ffff:ffff:ffff,2a07:c483:4000::,AS50017,fux-eg.org,fux eG,business,DE
240a:c0b2::,240a:c0b2:3fff:ffff:ffff:ffff:ffff:ffff,240a:c0b2::,AS137726,pcitc.com,China Petroleum & Chemical Corporation,business,CN
2a01:241e::,2a01:241e:3fff:ffff:ffff:ffff:ffff:ffff,2a01:241e::,AS3269,telecomitalia.com,Telecom Italia S.p.A.,isp,IT
240a:cfd1:8000::,240a:cfd1:bfff:ffff:ffff:ffff:ffff:ffff,240a:cfd1:8000::,AS137726,pcitc.com,China Petroleum & Chemical Corporation,business,CN
2a0f:d45:8000::,2a0f:d45:bfff:ffff:ffff:ffff:ffff:ffff,2a0f:d45:8000::,AS60262,panq.nl,Panq B.V.,business,NL
2401:4900:2580::,2401:4900:27ff:ffff:ffff:ffff:ffff:ffff,2401:4900::,AS45609,airtel.com,Bharti Airtel Ltd. AS for GPRS Service,isp,IN
2400:2ae2:4000::,2400:2ae2:7fff:ffff:ffff:ffff:ffff:ffff,2400:2ae2:4000::,AS17676,softbank.jp,Softbank BB Corp.,isp,JP
31.16.247.0,31.16.255.255,31.16.0.0,AS31334,vodafone.com,Vodafone Deutschland GmbH,isp,DE
2603:f69b:c000::,2603:f69b:ffff:ffff:ffff:ffff:ffff:ffff,2603:f69b:c000::,AS397165,digitalworkspaces.com,EpicUp Holdings Inc,business,US
2a00:f3::,2a00:f3:3fff:ffff:ffff:ffff:ffff:ffff,2a00:f3::,AS3209,vodafone.de,Vodafone GmbH,isp,DE
2a0f:93c1:8000::,2a0f:93c1:bfff:ffff:ffff:ffff:ffff:ffff,2a0f:93c1:8000::,AS62240,clouvider.com,Clouvider,hosting,GB
185.16.220.0,185.16.223.255,185.16.0.0,AS203585,teknik.fr,TEKNIK.FR SASU,isp,FR
2a00:1af7:c000::,2a00:1af7:ffff:ffff:ffff:ffff:ffff:ffff,2a00:1af7:c000::,AS35699,adamo.es,Adamo Telecom Iberia S.A.,isp,ES
2c0e:2b3:c000::,2c0e:2b3:ffff:ffff:ffff:ffff:ffff:ffff,2c0e:2b3:c000::,AS24863,link.net,Link Egypt (Link.NET),isp,EG
2c0e:602:4000::,2c0e:602:7fff:ffff:ffff:ffff:ffff:ffff,2c0e:602:4000::,AS24863,link.net,Link Egypt (Link.NET),isp,EG
2a0d:b000::,2a0d:b000:3fff:ffff:ffff:ffff:ffff:ffff,2a0d:b000::,AS12637,seeweb.it,SEEWEB s.r.l.,hosting,IT
2c0e:d83:c000::,2c0e:d83:ffff:ffff:ffff:ffff:ffff:ffff,2c0e:d83:c000::,AS24863,link.net,Link Egypt (Link.NET),isp,EG
84.36.116.0,84.36.116.255,84.36.0.0,AS36992,etisalat.com.eg,ETISALAT MISR,isp,EG
186.67.140.0,186.67.255.255,186.67.0.0,AS27651,entel.cl,ENTEL CHILE S.A.,isp,CL
2a04:fcc0::,2a04:fcc0:3fff:ffff:ffff:ffff:ffff:ffff,2a04:fcc0::,AS21396,ncuk.com,NetConnex Broadband Ltd.,hosting,GB
240c:c462:4000::,240c:c462:7fff:ffff:ffff:ffff:ffff:ffff,240c:c462:4000::,AS23910,cernet.edu.cn,China Next Generation Internet CERNET2,education,CN
2a00:2fa:c000::,2a00:2fa:ffff:ffff:ffff:ffff:ffff:ffff,2a00:2fa:c000::,AS3209,vodafone.de,Vodafone GmbH,isp,DE
2804:16fc:4000::,2804:16fc:7fff:ffff:ffff:ffff:ffff:ffff,2804:16fc:4000::,AS263112,netdrp.com.br,NETDRP SERVIÇOS DE INTERNET LTDA.,business,BR
194.106.69.0,194.106.69.255,194.106.0.0,AS5532,go.com.mt,GO p.l.c.,isp,MT
146.151.0.0,146.151.255.255,146.151.0.0,AS59,wisc.edu,University of Wisconsin Madison,education,US
2001:2ede::,2001:2ede:3fff:ffff:ffff:ffff:ffff:ffff,2001:2ede::,AS1299,teliacompany.com,Telia Company AB,isp,SE
2603:f600:4000::,2603:f600:7fff:ffff:ffff:ffff:ffff:ffff,2603:f600:4000::,AS40676,psychz.net,Psychz Networks,hosting,US
193.141.226.0,193.141.226.255,193.141.0.0,AS61346,heerema.com,Heerema Marine Contractors Nederland BV,business,NL
2a02:18f2:4000::,2a02:18f2:7fff:ffff:ffff:ffff:ffff:ffff,2a02:18f2:4000::,AS6848,telenet.be,Telenet BVBA,isp,BE
2801:1d:c800::,2801:1d:c800:ffff:ffff:ffff:ffff:ffff,2801:1d:c000::,AS13489,tigo.com.co,EPM Telecomunicaciones S.A. E.S.P.,isp,CO
2603:f2de::,2603:f2de:3fff:ffff:ffff:ffff:ffff:ffff,2603:f2de::,AS397165,digitalworkspaces.com,EpicUp Holdings Inc,business,US
2600:33c:4000::,2600:33c:7fff:ffff:ffff:ffff:ffff:ffff,2600:33c:4000::,AS7018,att.com,"AT&T Services, Inc.",isp,US
2a0f:4e82::,2a0f:4e82:3fff:ffff:ffff:ffff:ffff:ffff,2a0f:4e82::,AS50629,lwlcom.net,LWLcom GmbH,isp,DE
12.191.52.0,12.191.67.255,12.191.0.0,AS7018,att.com,"AT&T Services, Inc.",isp,US
203.84.134.0,203.84.134.255,203.84.0.0,AS38451,smxemail.com,SMX Ltd,business,NZ
240e:34b:8000::,240e:34b:bfff:ffff:ffff:ffff:ffff:ffff,240e:34b:8000::,AS4134,chinatelecom.com.cn,CHINANET-BACKBONE,isp,CN
194.71.154.0,194.71.154.255,194.71.0.0,AS3301,teliacompany.com,Telia Company AB,isp,SE
2400:2166::,2400:2166:3fff:ffff:ffff:ffff:ffff:ffff,2400:2166::,AS17676,softbank.jp,Softbank BB Corp.,isp,JP
2c0e:2403:4000::,2c0e:2403:7fff:ffff:ffff:ffff:ffff:ffff,2c0e:2403:4000::,AS5713,telkom.co.za,Telkom SA Ltd.,isp,ZA
103.143.98.0,103.143.99.255,103.143.0.0,AS133798,smartfren.com,"PT. Smartfren Telecom, Tbk",isp,ID
194.87.52.0,194.87.52.255,194.87.0.0,AS43624,pq.hosting,PQ HOSTING S.R.L.,hosting,MD
2603:d0e3::,2603:d0e3:3fff:ffff:ffff:ffff:ffff:ffff,2603:d0e3::,AS30600,metronet.com,Metronet,isp,US
2400:423a:8000::,2400:423a:bfff:ffff:ffff:ffff:ffff:ffff,2400:423a:8000::,AS4713,ntt.com,NTT Communications Corporation,isp,JP
172.111.206.0,172.111.206.255,172.111.0.0,AS20860,iomart.com,IOMART CLOUD SERVICES LIMITED,hosting,GB
204.14.180.0,204.14.183.255,204.14.0.0,AS8075,microsoft.com,Microsoft Corporation,business,US
2402:8100:27e0::,2402:8100:27e2:ffff:ffff:ffff:ffff:ffff,2402:8100::,AS45271,adityabirla.com,Idea Cellular Limited,isp,IN
2a0c:9082:8000::,2a0c:9082:bfff:ffff:ffff:ffff:ffff:ffff,2a0c:9082:8000::,AS57353,vitroconnect.de,vitroconnect GmbH,isp,DE
2606:f40:1::,2606:f40:1:ffff:ffff:ffff:ffff:ffff,2606:f40::,AS16509,amazon.com,"Amazon.com, Inc.",hosting,US
89.248.196.0,89.248.197.255,89.248.0.0,AS50340,selectel.com,OOO Network of data-centers Selectel,hosting,RU
2a0c:8f46:c000::,2a0c:8f46:ffff:ffff:ffff:ffff:ffff:ffff,2a0c:8f46:c000::,AS199216,compass.at,Compass-Verlag GmbH,business,AT
2400:2197:c000::,2400:2197:ffff:ffff:ffff:ffff:ffff:ffff,2400:2197:c000::,AS17676,softbank.jp,Softbank BB Corp.,isp,JP
2603:ff04:4000::,2603:ff04:7fff:ffff:ffff:ffff:ffff:ffff,2603:ff04:4000::,AS397165,digitalworkspaces.com,EpicUp Holdings Inc,business,US
2a05:ed45:8000::,2a05:ed45:bfff:ffff:ffff:ffff:ffff:ffff,2a05:ed45:8000::,AS207628,esyta.com,Eduardo Senin Herrero,business,ES
2408:41f7:8000::,2408:41f7:bfff:ffff:ffff:ffff:ffff:ffff,2408:41f7:8000::,AS37963,alibabagroup.com,"Hangzhou Alibaba Advertising Co.,Ltd.",hosting,CN
2a12:fb84:8000::,2a12:fb84:bfff:ffff:ffff:ffff:ffff:ffff,2a12:fb84:8000::,AS204187,ipcomcenter.com,IPCom Ltd,business,GB
240a:ab95:8000::,240a:ab95:bfff:ffff:ffff:ffff:ffff:ffff,240a:ab95:8000::,AS145615,,,inactive,
2a0c:5a86::,2a0c:5a86:3fff:ffff:ffff:ffff:ffff:ffff,2a0c:5a86::,AS57269,digimobil.es,DIGI SPAIN TELECOM S.L.U.,isp,ES
8.29.165.0,8.29.191.255,8.29.0.0,AS3356,lumen.com,"Level 3 Parent, LLC",isp,US
208.86.148.0,208.86.149.255,208.86.0.0,AS22886,incomm.com,Incomm,business,US
2c0e:d6:8000::,2c0e:d6:bfff:ffff:ffff:ffff:ffff:ffff,2c0e:d6:8000::,AS24863,link.net,Link Egypt (Link.NET),isp,EG
153.23.40.0,153.23.49.255,153.23.0.0,AS6035,mail.mil,DoD Network Information Center,business,US
2406:5ec0:8000::,2406:5ec0:bfff:ffff:ffff:ffff:ffff:ffff,2406:5ec0:8000::,AS141014,fabnet.in,Balaji Teleworks Development Pvt Ltd,business,IN
2803:c1e0:8000::,2803:c1e0:bfff:ffff:ffff:ffff:ffff:ffff,2803:c1e0:8000::,AS269994,allsolutionscba.com.ar,SCALI ALFREDO MARCOS (ALL SOLUTIONS),business,AR
240a:af9d:4000::,240a:af9d:7fff:ffff:ffff:ffff:ffff:ffff,240a:af9d:4000::,AS146647,,,inactive,
88.221.91.0,88.221.91.255,88.221.0.0,AS34164,akamai.com,Akamai International B.V.,business,NL
